reg_no,student_name,class,term,attendance,freedom_movement_in_karnataka,quest_and_art_of_communication,hindi_kavya_sangraha,database_management_system,csharp_and_dotnet_framework,computer_communication_and_networks,financial_education_and_investment_awareness
U041,Eliseo,BCA-A,Sem 3,67,67,93,38,44,74,40,3
U042,Abhalati,BCA-B,Sem 3,65,37,46,43,43,51,75,0
U043,Omerede,BCA-A,Sem 3,84,56,93,38,80,94,47,32
U044,Chitragupta,BCA-B,Sem 3,61,82,70,50,62,91,36,2
U045,Abha,BCA-A,Sem 3,70,42,64,58,64,87,69,46
U046,Kailin,BCA-B,Sem 3,73,58,58,43,89,80,86,41
U047,Gauribala,BCA-A,Sem 3,65,66,37,38,60,50,88,17
U048,Riya,BCA-B,Sem 3,83,61,57,78,84,63,82,35
U049,Ushabharti,BCA-A,Sem 3,75 percent,10,24,14,21,28,15,10
U050,Abhalaya,BCA-B,Sem 3,69,79 marks,65 score,79 marks,77,87,62,18
U051,Yasmin,BCA-A,Sem 3,86,85,62,37,60,43,82,5
U052,Aneesh,BCA-B,Sem 3,120,,70,82,40,82,45,13
U053,Sakshini,BCA-A,Sem 3,83,39,73,84,85,77,91,1
U054,Rajeshpannalal,BCA-B,Sem 3,76,37,76,62,76,90,42,38
U055,Fahir,BCA-A,Sem 3,82,87,76,92,52,49,44,9
U056,Abhalika,BCA-B,Sem 3,78,87 Score,79 marks,68 MARKS,68 MARKS,79 marks,65 score,26
U057,Elisha,BCA-A,Sem 3,62,60,41,81,53,89,50,39
U058,Baskaran,BCA-B,Sem 3,80%,30,17,11,19,22,28,11
U059,Gajodhar,BCA-A,Sem 3,72,50,84,45,55,74,84,3
U060,Varada,BCA-B,Sem 3,,108,105,108,102,105,102,60
U061,Hajj,BCA-A,Sem 3,90,93,38,74,55,44,40,15
U062,Harideo,BCA-B,Sem 3,62,67,35,93,54,72,58,0
U063,Aashita,BCA-A,Sem 3,86,82,62,62,71,62,61,34
U064,Indirah,BCA-B,Sem 3,84,58,75,94,71,87,68,26
U065,Waleedullah,BCA-A,Sem 3,62,62,38,88,91,60,63,40
U066,Isaura,BCA-B,Sem 3,91,82,91,85,62,61,62,26
U067,Binu,BCA-A,Sem 3,75,68 MARKS,68 MARKS,68 MARKS,65 score,65 score,72marks,48
U068,Hackett,BCA-B,Sem 3,64,66,37,74,67,89,90,32
U069,Maherer,BCA-A,Sem 3,76,71,65,83,59,86,35,23
U070,Aashvi,BCA-B,Sem 3,92,48,40,75,38,80,80,11
U071,Ayush,BCA-A,Sem 3,83,89,60,46,88,87,56,11
U072,Maheta,BCA-B,Sem 3,90,57,40,36,79,95,40,10
U073,Arnav,BCA-A,Sem 3,78,59,74,92,70,59,92,43
U074,Darji,BCA-B,Sem 3,78,47,81,49,42,58,56,48
U075,Deepalini,BCA-A,Sem 3,85,61,91,58,87,85,41,29
U076,Jagdamba,BCA-B,Sem 3,90,89,73,43,64,67,45,46
U077,Harithya,BCA-A,Sem 3,72,70,73,68,55,75,39,30
U078,Zaraa,BCA-B,Sem 3,61,49,61,54,37,63,75,37
U079,Harithavati,BCA-A,Sem 3,92,93,75,76,90,47,55,29
U080,Avi,BCA-B,Sem 3,80,45,95,78,48,61,56,13
U081,Wamia,BCA-A,Sem 3,988,59,38,53,,51,45,26
U082,Priyaa,BCA-B,Sem 3,eighty,27,10,12,24,30,12,10
U083,Tarakamatha,BCA-A,Sem 3,81,75,68,69,35,46,50,17
U084,Naventhralraj,BCA-B,Sem 3,75,46,39,83,74,52,77,14
U085,Darrius,BCA-A,Sem 3,95,62,90,46,56,35,79,41
U086,Jaya,BCA-B,Sem 3,62,37,47,65,70,44,73,30
U087,Eeshitra,BCA-A,Sem 3,95,58,86,43,75,58,73,37
U088,Jayabhayi,BCA-B,Sem 3,72,36,76,57,35,77,94,21
U089,Kaill,BCA-A,Sem 3,68,92,82,54,39,81,85,34
U090,Abhainn,BCA-B,Sem 3,93,51,90,35,42,61,56,1
U091,Tarakamoon,BCA-A,Sem 3,,108,105,102,105,108,102,55
U092,Bhavnesh,BCA-B,Sem 3,90,68,43,58,55,47,85,29
U093,Kailey,BCA-A,Sem 3,65,69,50,73,53,94,84,19
U094,Kailani,BCA-B,Sem 3,91,46,91,60,60,52,46,14
U095,Ushaara,BCA-A,Sem 3,77,85,36,66,35,64,71,25
U096,Haritaa,BCA-B,Sem 3,65,72,92,55,55,79,72,10
U097,Aarushi,BCA-A,Sem 3,92,82,79 marks,87 Score,76,79 marks,79 marks,50
U098,Aaryanka,BCA-B,Sem 3,73,79 marks,68 MARKS,72marks,79 marks,79 marks,65 score,36
U099,Wamia,BCA-A,Sem 3,90,54,76,39,40,85,45,38
U100,Paragkish,BCA-B,Sem 3,80,72,37,70,74,84,35,15
U101,Sakshini,BCA-A,Sem 3,89,40,78,43,44,50,46,37
U102,Umashankar,BCA-B,Sem 3,76,83,65,81,43,71,57,24
U103,Radhakrushna,BCA-A,Sem 3,83,35,41,94,74,52,64,20
U104,Madhavisha,BCA-B,Sem 3,94,38,79,93,84,57,68,11
U105,Navenprabu,BCA-A,Sem 3,92,52,41,85,75,41,48,37
U106,Abhainn,BCA-B,Sem 3,91,68,64,91,80,61,53,6
U107,Aditya,BCA-A,Sem 3,77,39,37,60,81,94,48,26
U108,Yasminjam,BCA-B,Sem 3,63,78,40,57,48,55,82,2
U109,Chhabildas,BCA-A,Sem 3,79,81,64,76,90,68,78,2
U110,Zainal,BCA-B,Sem 3,61,94,51,79,45,74,37,20
U111,Parague,BCA-A,Sem 3,63,52,38,67,51,53,56,47
U112,Isavara,BCA-B,Sem 3,71,87 Score,72marks,81,79 marks,87 Score,90,36
U113,Galbena,BCA-A,Sem 3,85,35,78,79,71,63,89,26
U114,Parag,BCA-B,Sem 3,70,91,39,53,46,36,55,50
U115,Abha,BCA-A,Sem 3,89,53,64,37,70,60,89,7
U116,Chandanipriya,BCA-B,Sem 3,110,60,70,74,,47,57,13
U117,Indirai,BCA-A,Sem 3,67,86,87,77,67,67,78,37
U118,Eeshna,BCA-B,Sem 3,74,57,75,67,92,50,39,29
U119,Chandrashekhar,BCA-A,Sem 3,91,47,68,76,47,72,78,29
U120,Tarakamedh,BCA-B,Sem 3,65,90,53,69,91,55,74,3
U121,Isador,BCA-A,Sem 3,60,93,52,92,82,91,55,36
U122,Anuj,BCA-B,Sem 3,93,48,37,36,95,75,65,30
U123,Aaryaya,BCA-A,Sem 3,79,81,58,62,83,49,84,18
U124,Mahether,BCA-B,Sem 3,70,74,60,73,42,42,73,5
U125,Waleeud,BCA-A,Sem 3,73,60,93,44,68,95,80,11
U126,Darcy,BCA-B,Sem 3,62,46,66,68,73,78,57,20
U127,Galbano,BCA-A,Sem 3,67,38,65 score,87 Score,87,42,79 marks,1
U128,Vaibhavajit,BCA-B,Sem 3,65,39,71,47,47,44,93,15
U129,Omeras,BCA-A,Sem 3,70,63,73,43,92,92,55,14
U130,Zainara,BCA-B,Sem 3,77,75,54,41,47,72,40,47
U131,Olita,BCA-A,Sem 3,65,64,54,89,36,56,70,42
U132,Aaryan,BCA-B,Sem 3,92,92,93,56,36,70,95,30
U133,Chanchalata,BCA-A,Sem 3,68,90,69,68 MARKS,77,68 MARKS,72marks,22
U134,Deepana,BCA-B,Sem 3,81,63,73,55,37,82,72,30
U135,Hagop,BCA-A,Sem 3,60,65,55,85,70,48,51,20
U136,Kaima,BCA-B,Sem 3,93,83,72,74,71,63,51,26
U137,Abhairah,BCA-A,Sem 3,92,88,73,57,48,47,89,6
U138,Madhavini,BCA-B,Sem 3,94,79,63,73,84,66,75,33
U139,Haji,BCA-A,Sem 3,80%,16,29,16,13,24,28,8
U140,Walegius,BCA-B,Sem 3,93,84,76,60,82,90,53,3
U141,Elaichi,BCA-A,Sem 3,93,78,92,37,69,52,39,11
U142,Aariana,BCA-B,Sem 3,63,51,85,53,62,65,62,6
U143,Gaurayya,BCA-A,Sem 3,70,85,75,86,54,72,89,22
U144,Aaryakshi,BCA-B,Sem 3,77,46,75,39,53,62,64,8
U145,Aashura,BCA-A,Sem 3,0.75,17,27,28,28,15,11,11
U146,Darshmeet,BCA-B,Sem 3,83,44,59,72,41,75,87,9
U147,Jagdishwar,BCA-A,Sem 3,65,56,35,37,43,63,52,23
U148,Chakrapani,BCA-B,Sem 3,81,80,68,59,35,58,89,28
U149,Lalava,BCA-A,Sem 3,988,92,,,60,38,61,40
U150,Aarini,BCA-B,Sem 3,82,40,47,88,93,91,56,47
U151,Kailarvi,BCA-A,Sem 3,78,37,35,51,51,69,55,47
U152,Aashree,BCA-B,Sem 3,92,48,41,38,65,87,88,49
U153,Haridev,BCA-A,Sem 3,66,57,60,44,50,36,53,35
U154,Maheshpal,BCA-B,Sem 3,81,36,62,55,61,82,50,17
U155,Fahrul,BCA-A,Sem 3,89,79,66,46,45,45,65,49
U156,Indiram,BCA-B,Sem 3,0.75,23,14,30,23,28,15,7
U157,Tarakam,BCA-A,Sem 3,76,50,95,67,77,66,62,37
U158,Farjad,BCA-B,Sem 3,80,63,49,74,78,76,38,19
U159,Yashadharmah,BCA-A,Sem 3,80,71,60,84,50,69,55,42
U160,Waleeid,BCA-B,Sem 3,60,55,39,46,77,85,42,20
U161,Nehaari,BCA-A,Sem 3,73,68,81,90,58,74,67,12
U162,Chitra,BCA-B,Sem 3,75.5%,25,19,24,19,10,13,20
U163,Deepalit,BCA-A,Sem 3,68,39,94,68,63,86,95,27
U164,Walegium,BCA-B,Sem 3,83,89,58,73,60,83,53,48
U165,Darwal,BCA-A,Sem 3,79,70,60,54,86,35,55,46
U166,Eliot,BCA-B,Sem 3,60,91,57,42,51,89,80,21
U167,Chaoshen,BCA-A,Sem 3,0.75,27,30,26,30,29,12,17
U168,Chaya,BCA-B,Sem 3,94,91,63,81,43,55,40,20
U169,Nehaa,BCA-A,Sem 3,82,41,71,77,86,76,64,2
U170,Wamia,BCA-B,Sem 3,87,94,61,64,55,78,65,7
U171,Chanchalali,BCA-A,Sem 3,74,57,88,54,91,57,66,10
U172,Omerican,BCA-B,Sem 3,93,51,94,54,72,79,45,48
U173,Aashirya,BCA-A,Sem 3,61,58,68 MARKS,60,65 score,87 Score,68 MARKS,27
U174,Galbraith,BCA-B,Sem 3,75 percent,17,15,15,11,22,28,19
U175,Mahendu,BCA-A,Sem 3,95,86,37,79 marks,65 score,68 MARKS,68 MARKS,34
U176,Wamia,BCA-B,Sem 3,78,84,65,83,87,76,50,3
U177,Lalatharam,BCA-A,Sem 3,94,79 marks,72marks,58,82,44,35,31
U178,Sakshila,BCA-B,Sem 3,90,78,40,86,51,82,92,33
U179,Fahadhul,BCA-A,Sem 3,72,42,36,50,93,47,42,15
U180,Umashankara,BCA-B,Sem 3,92,54,61,40,88,72,82,25
U181,Darryl,BCA-A,Sem 3,95,76,61,89,46,85,92,13
U182,Lalawab,BCA-B,Sem 3,63,65,90,56,41,39,73,46
U183,Priyaala,BCA-A,Sem 3,92,59,60,85,81,72,92,12
U184,Mahendra,BCA-B,Sem 3,75 percent,22,26,10,26,22,17,5
U185,Naveendra,BCA-A,Sem 3,89,87,60,69,53,61,95,15
U186,Chanchalaprita,BCA-B,Sem 3,70,70,36,71,62,93,93,27
U187,Kailanka,BCA-A,Sem 3,74,51,81,65,90,82,56,40
U188,Varadamba,BCA-B,Sem 3,66,81,79,85,52,61,36,16
U189,Tarakamaran,BCA-A,Sem 3,64,90,48,76,74,55,46,37
U190,Abhainna,BCA-B,Sem 3,85,82,84,67,78,78,87,45
U191,Vaibhavajith,BCA-A,Sem 3,82,92,50,40,37,61,53,45
U192,Jagdevpal,BCA-B,Sem 3,86,84,66,53,73,84,77,0
U193,Mahethan,BCA-A,Sem 3,94,37,41,66,38,35,86,7
U194,Qitara,BCA-B,Sem 3,75.5%,10,24,11,17,30,16,5
U195,Hagen,BCA-A,Sem 3,110,57,80,65,,71,90,6
U196,Basil,BCA-B,Sem 3,78,57,83,82,80,54,73,21
U197,Aashrita,BCA-A,Sem 3,73,81,47,50,93,77,61,50
U198,Fari,BCA-B,Sem 3,93,94,65,40,89,87 Score,37,35
U199,Farish,BCA-A,Sem 3,87,77,43,47,38,53,55,18
U200,Chanchala,BCA-B,Sem 3,93,63,74,57,89,54,90,0
U201,Falanah,BCA-A,Sem 3,94,89,72,38,70,56,79,2
U202,Kailanvi,BCA-B,Sem 3,75,65,68,93,66,38,84,22
U203,Naveensada,BCA-A,Sem 3,89,73,95,65,51,39,94,14
U204,Tarakamba,BCA-B,Sem 3,89,94,40,95,71,88,35,43
U205,Chandra,BCA-A,Sem 3,68,89,64,81,35,82,86,13
U206,Haddon,BCA-B,Sem 3,62,87,88,75,95,53,62,26
U207,Haridas,BCA-A,Sem 3,60,51,49,80,92,63,78,11
U208,Indirabai,BCA-B,Sem 3,eighty,24,15,19,23,14,30,12
U209,Rajeshpandey,BCA-A,Sem 3,68,45,76,92,80,80,48,2
U210,Kailina,BCA-B,Sem 3,,102,108,105,105,108,102,55
U211,Radhalakshmi,BCA-A,Sem 3,88,63,48,39,42,84,64,45
U212,Gakul,BCA-B,Sem 3,69,79,38,65,40,81,90,44
U213,Kailasa,BCA-A,Sem 3,77,41,51,84,52,50,92,35
U214,Umashankareswara,BCA-B,Sem 3,83,66,78,41,35,93,64,42
U215,Ekansh,BCA-A,Sem 3,85,66,77,42,89,43,78,2
U216,Vaibhavahara,BCA-B,Sem 3,72,89,90,95,70,82,45,15
U217,Wamia,BCA-A,Sem 3,74,88,92,38,45,73,91,11
U218,Farcy,BCA-B,Sem 3,71,65,94,42,51,76,60,45
U219,Fahad,BCA-A,Sem 3,86,87,69,80,42,36,95,39
U220,Hajji,BCA-B,Sem 3,93,37,78,76,94,48,47,7
U221,Darshil,BCA-A,Sem 3,82,36,50,53,71,89,41,33
U222,Radhakumarsing,BCA-B,Sem 3,71,39,64,51,63,86,94,47
U223,Qitara,BCA-A,Sem 3,70,90,38,93,68,64,45,12
U224,Zaragil,BCA-B,Sem 3,88,53,77,91,84,38,39,39
U225,Kailly,BCA-A,Sem 3,70,54,60,74,49,67,67,30
U226,Haridharan,BCA-B,Sem 3,72,47,87,44,42,35,68,8
U227,Fabio,BCA-A,Sem 3,83,84,37,42,89,86,84,23
U228,Deepalita,BCA-B,Sem 3,91,86,72,80,47,84,56,46
U229,Chhajed,BCA-A,Sem 3,93,94,67,66,53,89,45,17
U230,Sachindranath,BCA-B,Sem 3,82,43,89,71,52,77,46,6
U231,Paraguay,BCA-A,Sem 3,86,64,45,36,36,91,63,43
U232,Ushaa,BCA-B,Sem 3,81,36,84,55,93,47,70,15
U233,Isayah,BCA-A,Sem 3,64,39,84,92,46,67,93,22
U234,Hafiz,BCA-B,Sem 3,90,65,79,43,49,51,48,9
U235,Gala,BCA-A,Sem 3,94,78,61,95,72,45,61,2
U236,Kailine,BCA-B,Sem 3,73,63,74,63,51,91,70,40
U237,Chandanta,BCA-A,Sem 3,77,44,72,81,93,66,59,3
U238,Navenopal,BCA-B,Sem 3,76,66,44,79,49,71,46,23
U239,Charu,BCA-A,Sem 3,85,45,66,78,64,95,84,16
U240,Harithyaa,BCA-B,Sem 3,87,37,48,39,48,45,61,22
U241,Omeric,BCA-A,Sem 3,90,44,62,56,47,79,38,11
U242,Navenshankar,BCA-B,Sem 3,62,50,64,54,67,79,83,25
U243,Ushabhama,BCA-A,Sem 3,77,93,85,88,60,61,47,46
U244,Sakshii,BCA-B,Sem 3,89,79 marks,87 Score,87 Score,65 score,65 score,39,14
U245,Mahethesh,BCA-A,Sem 3,67,79 marks,87 Score,65 score,65 score,87 Score,87 Score,4
U246,Zaineddin,BCA-B,Sem 3,74,68 MARKS,79 marks,65 score,87 Score,78,61,33
U247,Maheth,BCA-A,Sem 3,82,78,85,48,72,61,50,16
U248,Harita,BCA-B,Sem 3,77,95,72,46,38,91,46,23
U249,Elick,BCA-A,Sem 3,60,69,41,57,49,90,95,12
U250,Riyaala,BCA-B,Sem 3,90,72,55,71,44,61,94,12
U251,Eeshithaa,BCA-A,Sem 3,89,51,65,74,52,72,77,1
U252,Galbraham,BCA-B,Sem 3,61,35,63,66,41,89,36,40
U253,Aaliyah,BCA-A,Sem 3,85,80,77,81,58,52,43,19
U254,Olisha,BCA-B,Sem 3,80,64,41,95,40,64,68,32
U255,Kailan,BCA-A,Sem 3,89,78,39,57,52,70,63,37
U256,Rajeshnath,BCA-B,Sem 3,86,42,64,70,42,72,46,39
U257,Lalaram,BCA-A,Sem 3,67,82,76,42,78,86,39,44
U258,Naveendran,BCA-B,Sem 3,73,44,83,86,50,53,45,34
U259,Navensh,BCA-A,Sem 3,79,60,40,69,81,84,55,46
U260,Zarahna,BCA-B,Sem 3,65,79,36,35,71,69,89,37
U261,Madhaviya,BCA-A,Sem 3,92,70,55,39,71,52,73,29
U262,Harithya,BCA-B,Sem 3,0.90,28,25,19,28,24,27,10
U263,Indirani,BCA-A,Sem 3,73,76,49,73,37,71,94,23
U264,Jayabhavya,BCA-B,Sem 3,120,39,53,92,,44,,1
U265,Eligio,BCA-A,Sem 3,79,67,55,80,40,69,93,13
U266,Aaryada,BCA-B,Sem 3,81,80,95,35,73,86,57,18
U267,Hain,BCA-A,Sem 3,,105,105,105,105,108,102,51
U268,Sachin,BCA-B,Sem 3,80,50,69,88,69,79,59,8
U269,Kaili,BCA-A,Sem 3,65,74,54,87,56,58,62,32
U270,Yasmini,BCA-B,Sem 3,62,50,38,83,54,76,41,47
U271,Abhaisa,BCA-A,Sem 3,90,38,71,92,40,92,84,10
U272,Galav,BCA-B,Sem 3,79,82,83,36,90,47,36,26
U273,Isah,BCA-A,Sem 3,89,93,62,84,61,80,73,27
U274,Mahesh,BCA-B,Sem 3,61,50,51,43,42,94,35,16
U275,Jayabhaskar,BCA-A,Sem 3,67,44,68,57,84,78,85,38
U276,Paragopal,BCA-B,Sem 3,80,93,67,66,38,56,67,45
U277,Mahethala,BCA-A,Sem 3,63,92,57,42,66,76,92,27
U278,Vaibhavaja,BCA-B,Sem 3,,105,108,108,102,102,102,55
U279,Radhakumari,BCA-A,Sem 3,78,39,58,90,88,51,87,46
U280,Ashraf,BCA-B,Sem 3,90,37,45,48,41,65,74,18
U281,Falakshee,BCA-A,Sem 3,79,88,42,36,41,79,81,7
U282,Priya,BCA-B,Sem 3,78,50,44,73,44,63,77,12
U283,Chandani,BCA-A,Sem 3,76,87,64,81,65,71,91,3
U284,Abhais,BCA-B,Sem 3,60,51,66,61,77,62,36,20
U285,Mahendran,BCA-A,Sem 3,66,61,58,64,74,60,66,29
U286,Wami,BCA-B,Sem 3,74,84,93,61,87,88,95,31
U287,Sakshi,BCA-A,Sem 3,70,74,90,38,42,68,53,32
U288,Abhalegha,BCA-B,Sem 3,89,61,52,51,82,80,57,32
U289,Gajanan,BCA-A,Sem 3,78,75,69,48,37,88,54,40
U290,Hakeez,BCA-B,Sem 3,91,85,87,56,88,44,57,8
U291,Darnell,BCA-A,Sem 3,77,40,75,60,52,62,69,23
U292,Riyaal,BCA-B,Sem 3,94,84,89,90,63,56,76,2
U293,Harithai,BCA-A,Sem 3,84,58,88,87 Score,80,72marks,51,4
U294,Darshul,BCA-B,Sem 3,110,76,,,72,51,60,31
U295,Indiraa,BCA-A,Sem 3,65,59,66,48,94,94,81,13
U296,Galban,BCA-B,Sem 3,80,82,55,87,95,94,75,31
U297,Deepanama,BCA-A,Sem 3,120,36,,95,56,38,67,47
U298,Darrian,BCA-B,Sem 3,90,68,70,85,74,73,53,35
U299,Darshith,BCA-A,Sem 3,85,84,49,41,55,57,80,7
U300,Jagatis,BCA-B,Sem 3,60,68 MARKS,87 Score,43,65 score,72marks,79 marks,14
