reg_no,student_name,class,term,attendance,indian_constitution,quest_and_art_of_communication_2,hindi_anuvad,python_programming,computer_multimedia_and_animation,operating_system_concepts,artificial_intelligence
U057,Elisha,BCA-A,Sem 4,88,81,91,44,77,68,63,15
U058,Baskaran,BCA-B,Sem 4,76,82,81,51,51,91,43,6
U059,Gajodhar,BCA-A,Sem 4,988,,37,60,,88,88,38
U060,Varada,BCA-B,Sem 4,62,80,88,39,38,82,50,1
U061,Hajj,BCA-A,Sem 4,110,85,67,72,,38,95,37
U062,Harideo,BCA-B,Sem 4,72,49,35,86,57,53,36,14
U063,Aashita,BCA-A,Sem 4,77,60,45,45,47,95,85,33
U064,Indirah,BCA-B,Sem 4,88,87 Score,72marks,67,95,87 Score,65 score,4
U065,Waleedullah,BCA-A,Sem 4,90,75,39,37,51,83,44,12
U066,Isaura,BCA-B,Sem 4,62,59,61,41,51,71,48,2
U067,Binu,BCA-A,Sem 4,73,90,63,56,50,80,48,25
U068,Hackett,BCA-B,Sem 4,81,72,61,68,64,45,61,40
U069,Maherer,BCA-A,Sem 4,65,45,88,70,80,72,88,50
U070,Aashvi,BCA-B,Sem 4,0.75,23,12,12,21,29,29,0
U071,Ayush,BCA-A,Sem 4,82,46,47,54,52,86,85,39
U072,Maheta,BCA-B,Sem 4,72,39,72,68,38,37,51,22
U073,Arnav,BCA-A,Sem 4,69,41,45,85,48,45,92,0
U074,Darji,BCA-B,Sem 4,75.5%,23,11,17,16,17,12,6
U075,Deepalini,BCA-A,Sem 4,75,61,55,90,46,87,59,7
U076,Jagdamba,BCA-B,Sem 4,77,42,52,85,37,90,77,50
U077,Harithya,BCA-A,Sem 4,70,54,95,67,74,89,57,26
U078,Zaraa,BCA-B,Sem 4,92,73,80,86,85,95,68,6
U079,Harithavati,BCA-A,Sem 4,75.5%,13,24,20,16,16,26,6
U080,Avi,BCA-B,Sem 4,93,59,54,52,36,84,60,42
U081,Wamia,BCA-A,Sem 4,73,58,78,50,83,84,61,6
U082,Priyaa,BCA-B,Sem 4,60,43,85,95,63,36,61,34
U083,Tarakamatha,BCA-A,Sem 4,82,67,36,95,95,62,71,22
U084,Naventhralraj,BCA-B,Sem 4,79,43,35,86,84,66,42,9
U085,Darrius,BCA-A,Sem 4,73,48,69,73,69,35,64,3
U086,Jaya,BCA-B,Sem 4,87,65,47,40,51,64,49,5
U087,Eeshitra,BCA-A,Sem 4,64,85,50,66,63,41,42,32
U088,Jayabhayi,BCA-B,Sem 4,94,74,90,47,69,89,87,18
U089,Kaill,BCA-A,Sem 4,0.75,25,24,20,14,29,11,16
U090,Abhainn,BCA-B,Sem 4,65,90,48,82,60,86,75,5
U091,Tarakamoon,BCA-A,Sem 4,83,38,72,48,46,68,54,16
U092,Bhavnesh,BCA-B,Sem 4,64,93,90,81,75,43,76,28
U093,Kailey,BCA-A,Sem 4,74,55,46,85,58,93,60,34
U094,Kailani,BCA-B,Sem 4,71,66,55,52,73,74,48,36
U095,Ushaara,BCA-A,Sem 4,79,42,87,52,77,57,74,1
U096,Haritaa,BCA-B,Sem 4,77,51,89,45,50,59,93,39
U097,Aarushi,BCA-A,Sem 4,64,80,47,83,50,48,53,12
U098,Aaryanka,BCA-B,Sem 4,86,38,67,93,85,62,72,44
U099,Wamia,BCA-A,Sem 4,73,82,83,42,88,48,86,2
U100,Paragkish,BCA-B,Sem 4,91,45,79,58,57,48,81,46
U101,Sakshini,BCA-A,Sem 4,88,44,68,39,73,53,62,32
U102,Umashankar,BCA-B,Sem 4,90,73,43,39,53,85,57,20
U103,Radhakrushna,BCA-A,Sem 4,89,35,64,81,77,47,69,18
U104,Madhavisha,BCA-B,Sem 4,86,77,54,42,39,83,41,38
U105,Navenprabu,BCA-A,Sem 4,74,46,56,89,90,90,41,39
U106,Abhainn,BCA-B,Sem 4,94,37,78,89,84,45,75,38
U107,Aditya,BCA-A,Sem 4,81,95,38,84,64,41,44,23
U108,Yasminjam,BCA-B,Sem 4,64,72marks,79 marks,72marks,87 Score,87 Score,76,39
U109,Chhabildas,BCA-A,Sem 4,0.90,25,18,11,25,25,28,13
U110,Zainal,BCA-B,Sem 4,60,79,68,71,62,75,45,47
U111,Parague,BCA-A,Sem 4,91,73,39,46,92,36,67,16
U112,Isavara,BCA-B,Sem 4,93,43,56,70,44,46,44,0
U113,Galbena,BCA-A,Sem 4,70,86,77,88,47,53,79,4
U114,Parag,BCA-B,Sem 4,90,83,41,81,73,92,86,36
U115,Abha,BCA-A,Sem 4,74,46,88,86,90,46,49,42
U116,Chandanipriya,BCA-B,Sem 4,86,67,59,56,57,45,45,30
U117,Indirai,BCA-A,Sem 4,77,61,48,44,95,40,79,10
U118,Eeshna,BCA-B,Sem 4,64,89,47,82,39,89,36,34
U119,Chandrashekhar,BCA-A,Sem 4,63,95,65,73,38,56,48,32
U120,Tarakamedh,BCA-B,Sem 4,65,58,47,50,58,67,94,38
U121,Isador,BCA-A,Sem 4,61,71,87,86,39,54,68,38
U122,Anuj,BCA-B,Sem 4,66,66,63,49,70,60,78,46
U123,Aaryaya,BCA-A,Sem 4,85,83,91,72,52,38,39,34
U124,Mahether,BCA-B,Sem 4,77,43,42,87,52,80,49,8
U125,Waleeud,BCA-A,Sem 4,91,68,84,86,93,65,63,24
U126,Darcy,BCA-B,Sem 4,85,87,74,46,56,62,50,29
U127,Galbano,BCA-A,Sem 4,73,75,51,77,94,75,51,42
U128,Vaibhavajit,BCA-B,Sem 4,63,40,75,92,88,77,88,20
U129,Omeras,BCA-A,Sem 4,75 percent,10,20,27,22,16,30,3
U130,Zainara,BCA-B,Sem 4,90,63,74,77,73,64,79,37
U131,Olita,BCA-A,Sem 4,82,44,72marks,68 MARKS,87 Score,72marks,78,23
U132,Aaryan,BCA-B,Sem 4,,102,102,105,108,102,102,60
U133,Chanchalata,BCA-A,Sem 4,73,49,51,79,87,58,55,36
U134,Deepana,BCA-B,Sem 4,78,36,65,66,66,52,93,36
U135,Hagop,BCA-A,Sem 4,72,54,75,38,37,66,84,48
U136,Kaima,BCA-B,Sem 4,61,36,69,50,49,57,84,31
U137,Abhairah,BCA-A,Sem 4,69,89,46,52,52,67,57,19
U138,Madhavini,BCA-B,Sem 4,93,90,79,46,40,95,65,30
U139,Haji,BCA-A,Sem 4,84,90,95,77,65,54,39,30
U140,Walegius,BCA-B,Sem 4,,105,105,102,102,108,102,55
U141,Elaichi,BCA-A,Sem 4,92,36,46,59,69,35,88,37
U142,Aariana,BCA-B,Sem 4,81,40,69,68,79,77,90,12
U143,Gaurayya,BCA-A,Sem 4,87,67,90,86,44,49,84,15
U144,Aaryakshi,BCA-B,Sem 4,72,44,60,72,43,48,57,37
U145,Aashura,BCA-A,Sem 4,80,53,55,49,69,90,82,38
U146,Darshmeet,BCA-B,Sem 4,110,93,83,,,71,40,37
U147,Jagdishwar,BCA-A,Sem 4,67,85,67,73,75,61,35,9
U148,Chakrapani,BCA-B,Sem 4,62,42,52,46,62,45,78,2
U149,Lalava,BCA-A,Sem 4,85,84,38,69,47,51,73,48
U150,Aarini,BCA-B,Sem 4,73,95,68,92,37,87,91,22
U151,Kailarvi,BCA-A,Sem 4,88,44,86,48,50,79,92,1
U152,Aashree,BCA-B,Sem 4,83,56,74,41,84,59,52,6
U153,Haridev,BCA-A,Sem 4,61,35,74,48,37,44,95,13
U154,Maheshpal,BCA-B,Sem 4,68,93,59,39,92,67,90,3
U155,Fahrul,BCA-A,Sem 4,94,56,52,41,76,89,64,21
U156,Indiram,BCA-B,Sem 4,120,82,86,67,,,93,49
U157,Tarakam,BCA-A,Sem 4,82,50,82,48,68,68,61,6
U158,Farjad,BCA-B,Sem 4,89,53,48,45,89,90,81,31
U159,Yashadharmah,BCA-A,Sem 4,65,38,47,54,76,38,69,19
U160,Waleeid,BCA-B,Sem 4,120,55,82,36,,70,69,32
U161,Nehaari,BCA-A,Sem 4,83,67,83,50,79,84,68 MARKS,30
U162,Chitra,BCA-B,Sem 4,81,37,45,76,54,94,41,20
U163,Deepalit,BCA-A,Sem 4,93,87 Score,38,94,43,63,90,5
U164,Walegium,BCA-B,Sem 4,72,68 MARKS,72marks,79 marks,65 score,65 score,79 marks,45
U165,Darwal,BCA-A,Sem 4,75 percent,12,10,14,20,27,11,1
U166,Eliot,BCA-B,Sem 4,69,89,68,66,75,89,92,27
U167,Chaoshen,BCA-A,Sem 4,81,58,54,88,43,45,74,42
U168,Chaya,BCA-B,Sem 4,70,35,67,95,65,85,94,4
U169,Nehaa,BCA-A,Sem 4,68,46,65 score,44,65 score,75,38,5
U170,Wamia,BCA-B,Sem 4,75,52,48,51,39,86,41,24
U171,Chanchalali,BCA-A,Sem 4,77,43,59,67,73,89,49,13
U172,Omerican,BCA-B,Sem 4,76,67,58,68,36,63,59,3
U173,Aashirya,BCA-A,Sem 4,92,37,94,41,38,60,69,6
U174,Galbraith,BCA-B,Sem 4,110,40,76,44,,,83,10
U175,Mahendu,BCA-A,Sem 4,69,83,58,53,94,62,86,25
U176,Wamia,BCA-B,Sem 4,90,41,67,54,60,46,73,35
U177,Lalatharam,BCA-A,Sem 4,91,83,53,47,62,58,66,19
U178,Sakshila,BCA-B,Sem 4,75,62,55,79,44,72,43,13
U179,Fahadhul,BCA-A,Sem 4,62,85,81,53,92,52,46,10
U180,Umashankara,BCA-B,Sem 4,67,70,91,68 MARKS,60,53,65,7
U181,Darryl,BCA-A,Sem 4,61,36,57,83,54,42,69,20
U182,Lalawab,BCA-B,Sem 4,89,53,67,44,79,79,58,12
U183,Priyaala,BCA-A,Sem 4,88,78,65 score,72marks,79 marks,61,87 Score,9
U184,Mahendra,BCA-B,Sem 4,89,39,80,50,85,87,91,43
U185,Naveendra,BCA-A,Sem 4,81,57,47,57,40,75,71,1
U186,Chanchalaprita,BCA-B,Sem 4,79,81,53,53,64,35,60,42
U187,Kailanka,BCA-A,Sem 4,74,60,47,62,65,77,41,43
U188,Varadamba,BCA-B,Sem 4,92,91,86,86,92,38,37,36
U189,Tarakamaran,BCA-A,Sem 4,84,38,51,67,37,85,75,47
U190,Abhainna,BCA-B,Sem 4,83,76,48,79,87,73,39,38
U191,Vaibhavajith,BCA-A,Sem 4,81,55,52,91,94,36,36,25
U192,Jagdevpal,BCA-B,Sem 4,63,44,68 MARKS,35,73,79 marks,54,49
U193,Mahethan,BCA-A,Sem 4,61,77,46,50,84,54,48,30
U194,Qitara,BCA-B,Sem 4,92,87,85,67,52,77,56,50
U195,Hagen,BCA-A,Sem 4,70,82,39,76,61,81,51,25
U196,Basil,BCA-B,Sem 4,60,68,62,71,47,65,65,10
U197,Aashrita,BCA-A,Sem 4,60,68,38,90,48,77,53,29
U198,Fari,BCA-B,Sem 4,63,54,59,42,63,49,55,37
U199,Farish,BCA-A,Sem 4,75,68 MARKS,72marks,79 marks,79 marks,68 MARKS,68 MARKS,19
U200,Chanchala,BCA-B,Sem 4,69,66,48,55,55,93,86,37
U201,Falanah,BCA-A,Sem 4,77,51,35,56,57,46,85,38
U202,Kailanvi,BCA-B,Sem 4,95,65 score,72marks,87 Score,64,85,68 MARKS,37
U203,Naveensada,BCA-A,Sem 4,86,39,62,47,53,55,60,36
U204,Tarakamba,BCA-B,Sem 4,64,51,60,90,77,88,48,18
U205,Chandra,BCA-A,Sem 4,74,77,71,39,77,53,36,40
U206,Haddon,BCA-B,Sem 4,70,75,94,81,83,68,79,26
U207,Haridas,BCA-A,Sem 4,82,92,67,37,77,63,39,21
U208,Indirabai,BCA-B,Sem 4,79,52,69,73,63,94,45,40
U209,Rajeshpandey,BCA-A,Sem 4,eighty,12,17,30,30,11,30,4
U210,Kailina,BCA-B,Sem 4,71,47,38,52,46,82,78,39
U211,Radhalakshmi,BCA-A,Sem 4,83,54,68 MARKS,68 MARKS,79 marks,79 marks,65 score,0
U212,Gakul,BCA-B,Sem 4,85,50,63,55,91,64,61,41
U213,Kailasa,BCA-A,Sem 4,77,89,65,47,65,86,38,34
U214,Umashankareswara,BCA-B,Sem 4,,108,105,108,108,108,108,51
U215,Ekansh,BCA-A,Sem 4,93,88,43,74,85,88,78,43
U216,Vaibhavahara,BCA-B,Sem 4,70,38,54,92,84,54,47,14
U217,Wamia,BCA-A,Sem 4,85,88,70,50,44,73,47,38
U218,Farcy,BCA-B,Sem 4,90,86,74,72,63,90,62,27
U219,Fahad,BCA-A,Sem 4,77,91,48,91,40,38,35,9
U220,Hajji,BCA-B,Sem 4,eighty,23,16,17,14,20,16,0
U221,Darshil,BCA-A,Sem 4,76,52,93,71,81,57,86,3
U222,Radhakumarsing,BCA-B,Sem 4,77,71,59,79,89,43,71,4
U223,Qitara,BCA-A,Sem 4,91,40,75,68,36,79,37,39
U224,Zaragil,BCA-B,Sem 4,80,60,55,58,51,89,80,40
U225,Kailly,BCA-A,Sem 4,92,35,48,95,42,68,62,18
U226,Haridharan,BCA-B,Sem 4,75,91,49,78,41,81,71,5
U227,Fabio,BCA-A,Sem 4,66,67,88,70,81,45,56,28
U228,Deepalita,BCA-B,Sem 4,92,48,89,79,85,88,95,4
U229,Chhajed,BCA-A,Sem 4,75,85,87,63,51,81,92,16
U230,Sachindranath,BCA-B,Sem 4,82,45,58,88,47,91,43,33
U231,Paraguay,BCA-A,Sem 4,88,76,87,63,68,89,84,29
U232,Ushaa,BCA-B,Sem 4,76,84,46,81,48,37,87,49
U233,Isayah,BCA-A,Sem 4,90,48,36,52,74,78,45,6
U234,Hafiz,BCA-B,Sem 4,69,36,75,64,56,52,41,44
U235,Gala,BCA-A,Sem 4,86,37,73,91,65,61,56,29
U236,Kailine,BCA-B,Sem 4,61,92,35,81,58,50,89,32
U237,Chandanta,BCA-A,Sem 4,76,93,78,75,83,43,82,3
U238,Navenopal,BCA-B,Sem 4,95,54,38,65,63,53,91,5
U239,Charu,BCA-A,Sem 4,94,74,74,58,47,53,48,19
U240,Harithyaa,BCA-B,Sem 4,73,87,58,57,79,88,85,23
U241,Omeric,BCA-A,Sem 4,63,52,91,54,68,58,76,35
U242,Navenshankar,BCA-B,Sem 4,74,55,83,61,58,35,43,19
U243,Ushabhama,BCA-A,Sem 4,74,90,55,87,92,84,56,43
U244,Sakshii,BCA-B,Sem 4,81,37,92,75,82,87,81,20
U245,Mahethesh,BCA-A,Sem 4,72,58,50,52,38,36,87,40
U246,Zaineddin,BCA-B,Sem 4,66,39,57,86,78,64,86,17
U247,Maheth,BCA-A,Sem 4,89,93,54,35,59,70,42,34
U248,Harita,BCA-B,Sem 4,120,75,79,52,38,70,,26
U249,Elick,BCA-A,Sem 4,86,88,57,94,85,72,77,23
U250,Riyaala,BCA-B,Sem 4,,108,108,105,102,108,105,60
U251,Eeshithaa,BCA-A,Sem 4,63,48,84,57,57,67,42,0
U252,Galbraham,BCA-B,Sem 4,64,51,62,71,77,58,76,36
U253,Aaliyah,BCA-A,Sem 4,94,72marks,79 marks,65 score,72marks,68 MARKS,68 MARKS,11
U254,Olisha,BCA-B,Sem 4,69,39,79,65,77,78,43,50
U255,Kailan,BCA-A,Sem 4,94,71,44,48,60,35,56,33
U256,Rajeshnath,BCA-B,Sem 4,65,75,95,90,37,49,68,49
U257,Lalaram,BCA-A,Sem 4,76,44,69,81,75,36,82,46
U258,Naveendran,BCA-B,Sem 4,73,48,42,69,48,79,53,20
U259,Navensh,BCA-A,Sem 4,89,75,52,53,82,88,64,41
U260,Zarahna,BCA-B,Sem 4,74,80,41,94,45,54,56,49
U261,Madhaviya,BCA-A,Sem 4,83,51,50,37,80,52,61,12
U262,Harithya,BCA-B,Sem 4,71,46,65,52,60,82,78,41
U263,Indirani,BCA-A,Sem 4,66,44,78,51,45,85,55,46
U264,Jayabhavya,BCA-B,Sem 4,76,41,44,59,57,37,56,10
U265,Eligio,BCA-A,Sem 4,68,61,48,95,36,46,90,26
U266,Aaryada,BCA-B,Sem 4,72,39,90,44,66,35,64,4
U267,Hain,BCA-A,Sem 4,78,95,88,54,41,78,35,9
U268,Sachin,BCA-B,Sem 4,89,85,66,62,76,80,46,34
U269,Kaili,BCA-A,Sem 4,94,79,72,63,43,37,70,1
U270,Yasmini,BCA-B,Sem 4,91,45,85,80,81,67,42,37
U271,Abhaisa,BCA-A,Sem 4,81,85,45,64,66,87,81,8
U272,Galav,BCA-B,Sem 4,81,80,52,46,55,57,54,45
U273,Isah,BCA-A,Sem 4,84,51,42,49,58,74,65,38
U274,Mahesh,BCA-B,Sem 4,64,70,37,47,46,83,95,48
U275,Jayabhaskar,BCA-A,Sem 4,78,59,81,64,54,95,42,19
U276,Paragopal,BCA-B,Sem 4,67,80,55,74,60,39,86,6
U277,Mahethala,BCA-A,Sem 4,87,56,54,74,71,78,35,46
U278,Vaibhavaja,BCA-B,Sem 4,65,90,64,41,81,43,90,48
U279,Radhakumari,BCA-A,Sem 4,79,52,78,93,75,63,37,32
U280,Ashraf,BCA-B,Sem 4,72,64,55,47,59,91,50,27
U281,Falakshee,BCA-A,Sem 4,65,72,75,39,83,65,87,32
U282,Priya,BCA-B,Sem 4,61,35,35,60,87,66,65,38
U283,Chandani,BCA-A,Sem 4,69,56,66,49,70,92,95,31
U284,Abhais,BCA-B,Sem 4,81,65,50,51,35,94,92,42
U285,Mahendran,BCA-A,Sem 4,80,68,94,46,71,48,68,8
U286,Wami,BCA-B,Sem 4,79,82,60,47,44,61,75,41
U287,Sakshi,BCA-A,Sem 4,94,93,66,70,45,75,50,16
U288,Abhalegha,BCA-B,Sem 4,94,56,42,45,38,84,40,29
U289,Gajanan,BCA-A,Sem 4,72,78,46,81,77,79,91,12
U290,Hakeez,BCA-B,Sem 4,85,60,54,70,37,65,43,12
U291,Darnell,BCA-A,Sem 4,76,60,82,78,79,44,79,24
U292,Riyaal,BCA-B,Sem 4,70,66,52,52,70,80,40,17
U293,Harithai,BCA-A,Sem 4,87,85,81,51,50,43,95,40
U294,Darshul,BCA-B,Sem 4,75,62,40,55,49,40,81,41
U295,Indiraa,BCA-A,Sem 4,60,90,79,90,69,50,91,18
U296,Galban,BCA-B,Sem 4,73,89,93,53,42,86,48,40
U297,Deepanama,BCA-A,Sem 4,75,58,57,92,44,74,93,8
U298,Darrian,BCA-B,Sem 4,82,50,46,47,91,52,35,46
U299,Darshith,BCA-A,Sem 4,88,54,92,84,92,74,65,31
U300,Jagatis,BCA-B,Sem 4,80%,25,23,16,19,18,15,19
