roll number,student name,standard,semester,attendance %,Mathematics,Physics,Chemistry,English,Computer Science,Economics
A12-018,Aditi Kulshreshtha,12A,2,98%,97,96,96,99,98,95
A12-018,Aditi Kulshreshtha,12A,3,100%,99,98,98,100,99,97
A12-019,Nikhil Bansal,12A,1,77%,68,71,65,73,69,66
A12-019,Nikhil Bansal,12A,2,81%,72,75,69,77,73,70
A12-019,Nikhil Bansal,12A,3,85%,76,79,73,81,77,74
A12-020,Megha Agarwal,12A,1,88%,82,85,80,87,83,81
A12-020,Megha Agarwal,12A,2,91%,86,89,84,90,87,85
A12-020,Megha Agarwal,12A,3,94%,89,92,88,93,90,88
A12-034,Devansh Rao,12A,1,79%,71,74,69,76,72,70
A12-034,Devansh Rao,12A,2,83%,75,78,73,80,76,74
A12-034,Devansh Rao,12A,3,87%,79,82,77,84,80,78
A12-021,Riya Mukherjee,12A,1,90%,85,88,83,89,86,84
A12-021,Riya Mukherjee,12A,2,93%,89,92,87,93,90,88
A12-021,Riya Mukherjee,12A,3,96%,92,95,90,96,93,91
A12-047,Adarsh Shetty,12A,1,67%,50,54,48,56,52,49
A12-047,Adarsh Shetty,12A,2,71%,55,58,52,61,56,53
A12-047,Adarsh Shetty,12A,3,76%,60,63,57,66,61,58
A12-026,Kavya Ramesh,12A,1,0.82,74,77,72,79,75,73
A12-026,Kavya Ramesh,12A,2,86%,78,81,76,83,79,77
A12-026,Kavya Ramesh,12A,3,89%,82,85,80,87,83,81
A12-052,Raghav Bhatia,12A,1,Absent,32,29,36,34,31,30
A12-052,Raghav Bhatia,12A,2,54%,38,35,42,40,37,36
A12-052,Raghav Bhatia,12A,3,61%,44,41,48,46,43,42
A12-029,Trisha Pillai,12A,1,88%,84,87,82,90,85,83
A12-029,Trisha Pillai,12A,2,92%,88,91,86,94,89,87
A12-029,Trisha Pillai,12A,3,95%,91,94,89,97,92,90
A12-041,Sarthak Khanna,12A,1,73%,63,66,61,69,64,62
A12-041,Sarthak Khanna,12A,2,77%,67,70,65,73,68,66
A12-041,Sarthak Khanna,12A,3,82%,71,74,69,77,72,70
A12-058,Naina Chatterjee,12A,1,94%,92,90,91,95,93,89
A12-058,Naina Chatterjee,12A,2,97%,95,94,94,98,96,92
A12-058,Naina Chatterjee,12A,3,99%,98,97,97,100,99,95
A12-023,Manav Arora,12A,1,81%,76,79,73,82,77,74
A12-023,Manav Arora,12A,2,85%,80,83,77,86,81,78
A12-023,Manav Arora,12A,3,89%,84,87,81,90,85,82
A12-055,Shreya Iqbal,12A,1,92%,89,91,87,93,90,88
A12-055,Shreya Iqbal,12A,2,95%,92,94,90,96,93,91
A12-055,Shreya Iqbal,12A,3,98%,95,97,93,99,96,94
A12-031,Arnav Tiwari,12A,1,69%,54,57,52,60,55,53
A12-031,Arnav Tiwari,12A,2,73%,58,61,56,64,59,57
A12-031,Arnav Tiwari,12A,3,78%,63,66,60,69,64,62
A12-044,Ira Menon,12A,1,0.87,78,81,75,83,79,77
A12-044,Ira Menon,12A,2,90%,82,85,79,87,83,81
A12-044,Ira Menon,12A,3,94%,86,89,83,91,87,85
A12-019,Yash Tripathi,12A,1,Absent,29,31,27,34,30,28
A12-019,Yash Tripathi,12A,2,53%,36,38,33,41,37,35
A12-019,Yash Tripathi,12A,3,60%,42,44,39,47,43,41
A12-060,Alisha Fernandes,12A,1,88%,84,86,82,89,85,83
A12-060,Alisha Fernandes,12A,2,91%,88,90,86,92,89,87
A12-060,Alisha Fernandes,12A,3,95%,92,94,90,96,93,91
A12-037,Keshav Naidu,12A,1,74%,62,65,59,68,63,60
A12-037,Keshav Naidu,12A,2,78%,66,69,63,72,67,64
A12-037,Keshav Naidu,12A,3,82%,70,73,67,76,71,68
A12-049,Sneha Bhat,12A,1,96%,94,92,93,97,95,91
A12-049,Sneha Bhat,12A,2,98%,97,96,96,99,98,94
A12-049,Sneha Bhat,12A,3,100%,99,98,98,100,99,96
A12-028,Pranav Kulshreshtha,12A,1,66%,48,51,46,54,49,47
A12-028,Pranav Kulshreshtha,12A,2,71%,53,56,50,59,54,52
A12-028,Pranav Kulshreshtha,12A,3,76%,58,61,55,64,59,57
A12-053,Diya Narayanan,12A,1,89%,85,88,83,90,86,84
A12-053,Diya Narayanan,12A,2,93%,89,92,87,94,90,88
A12-053,Diya Narayanan,12A,3,96%,92,95,90,97,93,91
B12-014,Arjun Khurana,12,1,82%,75,78,72,80,77,74
B12-014,Arjun Khurana,12,2,86%,79,82,76,84,81,78
B12-014,Arjun Khurana,12,3,90%,83,86,80,88,85,82
B12-003,Megha Sood,12,1,91%,88,85,87,90,89,84
B12-003,Megha Sood,12,2,94%,92,89,91,94,93,88
B12-003,Megha Sood,12,3,97%,95,93,94,97,96,92
B12-027,Kunal Mahajan,12,1,67%,52,55,49,58,54,50
B12-027,Kunal Mahajan,12,2,72%,57,60,54,63,59,55
B12-027,Kunal Mahajan,12,3,77%,62,65,59,68,64,60
B12-011,Riya Saxena,12,1,0.83,73,76,70,79,74,71
B12-011,Riya Saxena,12,2,88%,78,81,75,84,79,76
B12-011,Riya Saxena,12,3,92%,83,86,80,89,84,81
B12-039,Aman Thakur,12,1,Absent,31,28,34,33,30,29
B12-039,Aman Thakur,12,2,50%,37,34,41,39,36,35
B12-039,Aman Thakur,12,3,58%,43,40,47,45,42,41
B12-021,Nisha Kulkarni,12,1,85%,80,83,78,86,82,79
B12-021,Nisha Kulkarni,12,2,89%,84,87,82,90,86,83
B12-021,Nisha Kulkarni,12,3,93%,88,91,86,94,90,87
B12-035,Harshit Anand,12,1,74%,60,63,57,66,62,59
B12-035,Harshit Anand,12,2,79%,65,68,62,71,67,64
B12-035,Harshit Anand,12,3,84%,70,73,67,76,72,69
B12-006,Sanya Roy,12,1,96%,93,91,92,95,94,90
B12-006,Sanya Roy,12,2,98%,96,95,95,98,97,93
B12-006,Sanya Roy,12,3,100%,99,98,98,100,99,96
B12-018,Dev Mehra,12,1,70%,55,58,53,61,56,54
B12-018,Dev Mehra,12,2,75%,60,63,58,66,61,59
B12-018,Dev Mehra,12,3,80%,65,68,63,71,66,64
B12-032,Tanisha Ghosh,12,1,88%,82,85,79,87,83,81
B12-032,Tanisha Ghosh,12,2,92%,86,89,83,91,87,85
B12-032,Tanisha Ghosh,12,3,95%,89,92,87,94,90,88
B12-009,Rohan Pillai,12,1,65%,49,52,47,55,50,48
B12-009,Rohan Pillai,12,2,70%,54,57,52,60,55,53
B12-009,Rohan Pillai,12,3,76%,60,63,58,66,61,59
B12-024,Ishani Desai,12,1,0.89,84,87,81,89,85,83
B12-024,Ishani Desai,12,2,93%,88,91,85,93,89,87
B12-024,Ishani Desai,12,3,97%,92,95,89,97,93,91
B12-001,Karthik Iyer,12,1,73%,58,61,56,64,59,57
B12-001,Karthik Iyer,12,2,78%,63,66,61,69,64,62
B12-001,Karthik Iyer,12,3,83%,68,71,66,74,69,67
B12-030,Meera Venkatesh,12,1,94%,90,92,88,95,91,89
B12-030,Meera Venkatesh,12,2,97%,93,95,91,98,94,92
B12-030,Meera Venkatesh,12,3,100%,96,98,94,100,97,95
B12-015,Aryan Bhalla,12,1,Absent,34,31,38,36,33,32
B12-015,Aryan Bhalla,12,2,55%,40,37,44,42,39,38
B12-015,Aryan Bhalla,12,3,62%,46,43,50,48,45,44
B12-038,Diya Shah,12,1,87%,81,84,78,86,82,80
B12-038,Diya Shah,12,2,91%,85,88,82,90,86,84
B12-038,Diya Shah,12,3,94%,89,92,86,94,90,88
B12-020,Vivaan Sethi,12,1,68%,52,55,50,58,53,51
B12-020,Vivaan Sethi,12,2,73%,57,60,55,63,58,56
B12-020,Vivaan Sethi,12,3,79%,63,66,61,69,64,62
B12-034,Shruti Nair,12,1,90%,86,88,84,91,87,85
B12-034,Shruti Nair,12,2,94%,90,92,88,95,91,89
B12-034,Shruti Nair,12,3,98%,94,96,92,99,95,93
C12-014,Aryan Joshi,12A,1,87%,78,82,74,69,88,72
C12-014,Aryan Joshi,12A,2,0.91,81 marks,85,79,73,90/100,76
C12-032,Shravya Nair,12A,1,76 percent,65,59,61,70,68,60
C12-032,Shravya Nair,12A,2,82%,69,64,66 marks,74,72,63
C12-007,Rohan Choudhary,12A,1,Absent,40 marks,38,42,35,45,39
C12-007,Rohan Choudhary,12A,2,58%,44,41,46,39,49,43
C12-051,Megha Pillai,12A,1,104,92,95,90,88,97,91
C12-051,Megha Pillai,12A,2,97%,94,97,93,90,115,94
C12-026,Harshit Rao,12A,1,72%,58,60,55,62,59,57
C12-026,Harshit Rao,12A,2,75%,61,64,59,66,63,60
C12-043,Anika Bhardwaj,12A,1,0.46,33,-5,35,40,37,31
C12-043,Anika Bhardwaj,12A,2,55%,38,34,41,45,42,36
C12-019,Dev Sharma,12A,1,89%,85/100,81,83,78,87,80
C12-019,Dev Sharma,12A,2,91%,88,84,86,81,90,83
C12-058,Ishani Kapoor,12A,1,,74,70,68,76,72,69
C12-058,Ishani Kapoor,12A,2,83%,78,74,73,80,76,72
C12-003,Kunal Reddy,12A,1,68%,52,49,55,58,54,51
C12-003,Kunal Reddy,12A,2,72 percent,56,53,59,62,58,54
C12-039,Ritika Iyer,12A,1,95%,90,92,88,85,94,89
C12-039,Ritika Iyer,12A,2,97%,93,95,91,88,97,92
C12-061,Pranav Malhotra,12A,1,84%,AB,76,71,Internal 40,82,79
C12-061,Pranav Malhotra,12A,2,88%,74,79,NA,85,88,90 out of 100
C12-022,Aditi Bansal,12A,1,0.82,69,Present,64,72,68,--
C12-022,Aditi Bansal,12A,2,91%,73,77,68,76,71,75
C12-047,Kartik Menon,12A,1,Absent,29,31,AB,34,30,28
C12-047,Kartik Menon,12A,2,52%,36,38,33,41,37,35
C12-075,Diya Mukherjee,12A,1,93%,88,91,86,90 out of 100,89,85
C12-075,Diya Mukherjee,12A,2,96%,92,95,91,94,97,93
C12-018,Yuvraj Kapoor,12A,1,67%,52,55,50,58,53,51
C12-018,Yuvraj Kapoor,12A,2,71%,57,60,55,63,58,56
C12-083,Anushka Sethi,12A,1,78%,Internal 40,82,75,84,80,77
C12-083,Anushka Sethi,12A,2,83%,86,89,80,88,84,81
C12-010,Harshita Rao,12A,1,100%,101,99,98,100,97,96
C12-010,Harshita Rao,12A,2,104,105,102,103,101,100,99
C12-064,Reyansh Iqbal,12A,1,74%,58,61,56,64,59,57
C12-064,Reyansh Iqbal,12A,2,79%,63,66,61,69,64,62
C12-035,Sneha Vardhan,12A,1,0.45,AB,28,35,32,30,27
C12-035,Sneha Vardhan,12A,2,55%,40,37,44,42,39,38
C12-092,Aditya Prakash,12A,1,89%,85/100,81,83,78,87,80
C12-092,Aditya Prakash,12A,2,92%,88,84,86,81,90,83
D12-014,Rhea Thomas,12,1,82%,75,78,72,80,77,74
D12-014,Rhea Thomas,12,2,86%,79,82,76,84,81,78
D12-039,Armaan Desai,12,1,Absent,AB,28,34,33,30,29
D12-039,Armaan Desai,12,2,50%,37,34,41,39,36,35
D12-006,Mehul Jain,12,1,96%,93,91,92,95,94,90
D12-006,Mehul Jain,12,2,98%,96,95,95,98,97,93
D12-021,Naina Kapoor,12,1,85%,80,83,78,86,82,79
D12-021,Naina Kapoor,12,2,89%,84,87,82,90,86,83
D12-030,Vihaan Chatterjee,12,1,74%,60,63,57,66,62,59
D12-030,Vihaan Chatterjee,12,2,79%,65,68,62,71,67,64
D12-018,Anaya Pillai,12,1,0.87,84,87,81,89,85,83
D12-018,Anaya Pillai,12,2,93%,88,91,85,93,89,87
D12-001,Rudra Nair,12,1,73%,58,61,56,64,59,57
D12-001,Rudra Nair,12,2,78%,63,66,61,69,64,62
D12-034,Ira Sood,12,1,94%,90,92,88,95,91,89
D12-034,Ira Sood,12,2,97%,93,95,91,98,94,92
D12-015,Aarav Mallick,12,1,65%,Present,52,47,55,50,48
D12-015,Aarav Mallick,12,2,70%,54,57,52,60,55,53
D12-024,Shruti Bose,12,1,88%,82,85,79,87,83,81
D12-024,Shruti Bose,12,2,92%,86,89,83,91,87,85
C12-101,Arya Kulkarni,12A,1,88%,82,85,79,87,83,81
C12-101,Arya Kulkarni,12A,2,92%,86,89,83,91,87,85
C12-102,Rohan Mehta,12A,1,74%,60,63,57,66,62,59
C12-102,Rohan Mehta,12A,2,79%,65,68,62,71,67,64
C12-103,Saanvi Iyer,12A,1,0.84,75,78,72,80,77,74
C12-103,Saanvi Iyer,12A,2,89%,80,83,77,85,82,79
C12-104,Arnav Khanna,12A,1,Absent,35,32,38,36,33,31
C12-104,Arnav Khanna,12A,2,58%,42,39,46,44,41,40
C12-105,Diya Narang,12A,1,95%,91,93,89,94,92,88
C12-105,Diya Narang,12A,2,98%,95,97,93,99,96,92
C12-106,Kabir Sinha,12A,1,67%,52,55,50,58,53,51
C12-106,Kabir Sinha,12A,2,72%,57,60,55,63,58,56
C12-107,Ishika Rao,12A,1,81%,78,81,75,83,79,76
C12-107,Ishika Rao,12A,2,85%,82,85,79,87,83,80
C12-108,Devansh Nair,12A,1,76 percent,68,71,65,73,69,66
C12-108,Devansh Nair,12A,2,82%,72,75,69,77,73,70
C12-109,Anika Sharma,12A,1,0.47,33,29,35,40,37,31
C12-109,Anika Sharma,12A,2,55%,40,36,42,47,43,38
C12-110,Yashvardhan Patel,12A,1,90%,85/100,88,83,89,86,84
C12-110,Yashvardhan Patel,12A,2,93%,89,92,87,94,90,88
C12-111,Riya Kapoor,12A,1,73%,61,64,59,67,63,60
C12-111,Riya Kapoor,12A,2,78%,66,69,64,72,68,65
C12-112,Aarush Deshmukh,12A,1,87%,79,82,76,84,80,77
C12-112,Aarush Deshmukh,12A,2,91%,83,86,80,88,84,81
D12-101,Meera Sethi,12,1,84%,74,77,71,79,76,73
D12-101,Meera Sethi,12,2,88%,78,81,75,83,80,77
D12-102,Vihaan Kulkarni,12,1,69%,55,58,53,61,56,54
D12-102,Vihaan Kulkarni,12,2,74%,60,63,58,66,61,59
D12-103,Anaya Malhotra,12,1,92%,88,91,85,93,89,87
D12-103,Anaya Malhotra,12,2,96%,92,95,89,97,93,91
D12-104,Rudransh Iyer,12,1,Absent,30,27,34,32,29,28
D12-104,Rudransh Iyer,12,2,54%,37,34,41,39,36,35
D12-105,Kiara Bose,12,1,78%,70,73,67,75,72,69
D12-105,Kiara Bose,12,2,83%,74,77,71,79,76,73
D12-106,Advik Menon,12,1,0.86,76,79,73,81,78,75
D12-106,Advik Menon,12,2,90%,80,83,77,85,82,79
D12-107,Tara Bhattacharya,12,1,95%,93,91,92,96,94,90
D12-107,Tara Bhattacharya,12,2,98%,96,95,95,99,97,93
D12-108,Samar Kapoor,12,1,66%,50,53,48,56,52,49
D12-108,Samar Kapoor,12,2,71%,55,58,53,61,57,54
C12-113,Shivam Bhatia,12A,1,86%,81,84,78,87,83,80
C12-113,Shivam Bhatia,12A,2,90%,85,88,82,91,87,84
C12-114,Anvi Nair,12A,1,73%,59,62,57,65,61,58
C12-114,Anvi Nair,12A,2,78%,64,67,62,70,66,63
C12-115,Karan Sethi,12A,1,0.83,74,77,71,79,75,72
C12-115,Karan Sethi,12A,2,88%,79,82,76,84,80,77
C12-116,Priyanka Menon,12A,1,Absent,34,31,37,35,33,30
C12-116,Priyanka Menon,12A,2,56%,41,38,44,42,39,37
C12-117,Aditya Kulkarni,12A,1,94%,90,93,88,95,91,89
C12-117,Aditya Kulkarni,12A,2,97%,94,96,92,99,95,93
C12-118,Myra Kapoor,12A,1,69%,53,56,51,59,54,52
C12-118,Myra Kapoor,12A,2,74%,58,61,56,64,59,57
C12-119,Rehan Thomas,12A,1,82%,76,79,73,82,77,74
C12-119,Rehan Thomas,12A,2,87%,81,84,78,87,82,79
C12-120,Ishaan Ghosh,12A,1,76 percent,68,71,65,73,69,66
C12-120,Ishaan Ghosh,12A,2,83%,73,76,70,78,74,71
C12-121,Sanya Deshmukh,12A,1,0.48,32,29,35,40,37,31
C12-121,Sanya Deshmukh,12A,2,55%,39,36,42,47,43,38
C12-122,Aarav Pillai,12A,1,91%,86,89,83,91,87,84
C12-122,Aarav Pillai,12A,2,95%,90,93,87,95,91,88
C12-123,Kiara Malhotra,12A,1,88%,83,86,80,88,84,82
C12-123,Kiara Malhotra,12A,2,92%,87,90,84,92,88,86
C12-124,Rudra Iyer,12A,1,72%,60,63,57,66,62,59
C12-124,Rudra Iyer,12A,2,78%,65,68,62,71,67,64
C12-125,Tanisha Roy,12A,1,96%,92,94,90,97,93,91
C12-125,Tanisha Roy,12A,2,99%,96,98,94,100,97,95
C12-126,Dev Sharma,12A,1,84%,78,81,75,83,79,76
C12-126,Dev Sharma,12A,2,89%,83,86,80,88,84,81
C12-127,Aditi Bansal,12A,1,67%,52,55,50,58,53,51
C12-127,Aditi Bansal,12A,2,72%,57,60,55,63,58,56
C12-128,Yuvika Jain,12A,1,93%,89,92,87,94,90,88
C12-128,Yuvika Jain,12A,2,97%,93,96,91,98,94,92
D12-109,Arnav Bhalla,12,1,79%,71,74,69,76,72,70
D12-109,Arnav Bhalla,12,2,84%,76,79,74,81,77,75
D12-110,Rhea Kapoor,12,1,74%,60,63,58,66,61,59
D12-110,Rhea Kapoor,12,2,79%,65,68,63,71,66,64
D12-111,Vihaan Reddy,12,1,90%,85,88,83,89,86,84
D12-111,Vihaan Reddy,12,2,94%,89,92,87,93,90,88
D12-112,Ananya Sood,12,1,Absent,33,30,36,34,31,29
D12-112,Ananya Sood,12,2,58%,40,37,43,41,38,36
D12-113,Rohan Mallick,12,1,82%,75,78,73,80,76,74
D12-113,Rohan Mallick,12,2,87%,80,83,78,85,81,79
D12-114,Meera Pillai,12,1,0.85,77,80,75,83,79,76
D12-114,Meera Pillai,12,2,91%,82,85,80,88,84,81
D12-115,Samar Jain,12,1,68%,54,57,52,60,56,53
D12-115,Samar Jain,12,2,73%,59,62,57,65,61,58
D12-116,Kiara Nair,12,1,95%,91,93,89,96,92,90
D12-116,Kiara Nair,12,2,98%,95,97,93,99,96,94
A12-201,Rohit Mehra,12A,1,84%,78,81,75,83,79,76
A12-201,Rohit Mehra,12A,2,89%,83,86,80,88,84,81
A12-202,Ananya Kulkarni,12A,1,76%,68,71,65,73,69,66
A12-202,Ananya Kulkarni,12A,2,82%,73,76,70,78,74,71
A12-203,Kabir Nair,12A,1,0.83,74,77,71,79,75,72
A12-203,Kabir Nair,12A,2,88%,79,82,76,84,80,77
A12-204,Diya Sethi,12A,1,Absent,35,32,38,36,33,31
A12-204,Diya Sethi,12A,2,58%,42,39,46,44,41,40
A12-205,Arjun Deshmukh,12A,1,91%,86,89,83,91,87,84
A12-205,Arjun Deshmukh,12A,2,95%,90,93,87,95,91,88
A12-206,Myra Iyer,12A,1,69%,53,56,51,59,54,52
A12-206,Myra Iyer,12A,2,74%,58,61,56,64,59,57
A12-207,Yash Kapoor,12A,1,82%,76,79,73,82,77,74
A12-207,Yash Kapoor,12A,2,87%,81,84,78,87,82,79
A12-208,Saanvi Reddy,12A,1,96%,92,94,90,97,93,91
A12-208,Saanvi Reddy,12A,2,99%,96,98,94,100,97,95
A12-209,Dev Malhotra,12A,1,67%,52,55,50,58,53,51
A12-209,Dev Malhotra,12A,2,72%,57,60,55,63,58,56
A12-210,Riya Sharma,12A,1,88%,83,86,80,88,84,82
A12-210,Riya Sharma,12A,2,92%,87,90,84,92,88,86
A12-211,Aarav Menon,12A,1,74%,60,63,57,66,62,59
A12-211,Aarav Menon,12A,2,79%,65,68,62,71,67,64
A12-212,Tanvi Kapoor,12A,1,93%,89,92,87,94,90,88
A12-212,Tanvi Kapoor,12A,2,97%,93,96,91,98,94,92
B12-201,Ira Nair,12,1,85%,80,83,78,86,82,79
B12-201,Ira Nair,12,2,90%,85,88,83,91,87,84
B12-202,Rudra Mehta,12,1,73%,58,61,56,64,59,57
B12-202,Rudra Mehta,12,2,78%,63,66,61,69,64,62
B12-203,Sneha Pillai,12,1,94%,90,92,88,95,91,89
B12-203,Sneha Pillai,12,2,97%,93,95,91,98,94,92
B12-204,Vihaan Khanna,12,1,68%,54,57,52,60,56,53
B12-204,Vihaan Khanna,12,2,73%,59,62,57,65,61,58
B12-205,Anika Bose,12,1,Absent,32,29,35,33,30,28
B12-205,Anika Bose,12,2,55%,39,36,42,40,37,35
B12-206,Kunal Jain,12,1,81%,75,78,73,80,76,74
B12-206,Kunal Jain,12,2,86%,80,83,78,85,81,79
B12-207,Meera Rao,12,1,0.87,77,80,75,83,79,76
B12-207,Meera Rao,12,2,91%,82,85,80,88,84,81
B12-208,Samar Desai,12,1,95%,91,93,89,96,92,90
B12-208,Samar Desai,12,2,98%,95,97,93,99,96,94
